# Comments start with a hashtag because of how CSV is read,"<a href=""tel:+1555-555-5555"">1.555.555.5555</a>",,,,thriv.life/LINK,"<a href=""SITE-LINK"" target=""_blank"">LIST-NAME</a>"
Resource,Hotline Phone/Text,Resource Description,Keywords,Region/Language,ShortLink,Website
Consortium of Higher Education,,A member-based organization by the LGBT Resource Professionals working towards the liberation of LGBTQ people in higher education,"LGBTQ, education, career",,thriv.life/ConsortHigherEd,https://www.lgbtcampus.org/
Coping with Gender Dysphoria,,A PDF on ways to cope with gender dysphoria.,"LGBTQ, mental health, gender identity",,thriv.life/Coping-Gender-Dys,https://www.telethonkids.org.au/globalassets/media/documents/brain--behaviour/sparx-t/coping-with-gender-dysphoria.pdf
Cornell University's Self-injury & Recovery Resources,,"Resources about self-injury for people who self-injure, their family and loved ones, and providers. This information is both educational and preventative.","mental health, education, coping, self-harm",,thriv.life/CornellSI,http://www.selfinjury.bctr.cornell.edu/resources.html
Cost Plus Drug Company,,"Online pharmacy offering medications at the lowest possible price. They do not accept health insurance, but in many cases, prices are lower than they would be through an insurance plan.","general, health",,thriv.life/CPDC,https://costplusdrugs.com/
Coursera,,Free online courses in a variety of subjects. Also pairs with universities for paid degree programs.,"STEMM, education",,thriv.life/Coursera,https://www.coursera.org/
Covenant House,,"An organization providing housing services, shelters, and outreach for youth (age varies by location; generally 18-22).","general, housing",,thriv.life/CovenantHouse,https://www.covenanthouse.org/homeless-shelters
COVID-Conscious Therapists,,A directory of therapists who acknowledge the realities of living through a pandemic and lists in-person safety precautions and whether telehealth is available.,"COVID-19, mental health, providers",,thriv.life/C19-Therapists,https://www.covidconscioustherapists.com/
Crime Survivors for Safety and Justice,,"CSSJ is a national network of crime survivors joining together to create healing communities and shape public safety policy. They advocate for policies that reduce incarceration and increase investments into crime prevention, trauma recovery and rehabilitation. There are some local chapters and opportunities for online membership.","support, education",,thriv.life/CSSJ,https://cssj.org/
"Cutting the Risk: Self-harm, Self-care, and Risk reduction",,A PDF guide focused on harm reduction for people engaging in self-harm behaviors.,"mental health, self-harm, harm reduction",,thriv.life/CTRguide,http://studymore.org.uk/ctr.pdf
Cyber Civil Rights Initiative,"<a href=""tel:+1844-878-2274"">1.844.878.CCRI (2274)</a>","Legal information and resources for victims of online abuses, such as non-consensual pornography and recorded sexual assault. Maintains a 24/7 crisis helpline with interpretation available.","hotline, abuse",,thriv.life/CCRI,https://www.cybercivilrights.org/
Daily Strength,,"Support groups of a variety of topics including mental health, health, and LGBTQ.","LGBTQ, mental health, health",,thriv.life/DailyStrength,https://www.dailystrength.org/
Dance Workout: Tribute to Black Lives,,"This dance workout is an outlet for healing, empowerment, love and celebration.","Black, mental health, coping",,thriv.life/Dance-BLM,https://www.youtube.com/watch?v=gecvVOj7rg4&feature=youtu.be
David Romprey Warmline,"<a href=""tel:+1.800.698.2392"">1.800.698.2392</a>",A 24/7 Oregon warmline (call-based) that won't call police. Available in both English and Spanish.,"hotline, non-carceral",Español,thriv.life/DavidRomprey,https://ccswebsite.org/warmline/
Deaf Friendly Review,,"A crowd-sourced website for rating, reviewing, and finding deaf-friendly businesses.",disability,,thriv.life/DeafFriend,http://www.deaffriendly.com/
Dear Black Women Project,,"An affirmation movement for Black women by Black women. They no longer have daily postings, but the information on the website (affirmations and poems are there). ","Black, mental health",,thriv.life/DBWP,https://www.dearblackwomenproject.com/
Decolonization Coven - Free Zine Library,,This site contains a free printable zine library spanning on various topics.  ,general,,,https://decolonizationcoven.com/free-zine-library
Dem Bois Grant,,"Grants for female to male, FTM transgender, and or trans-masculine person(s) of color who cannot afford to obtain chest reconstruction surgery, and or genital reassignment surgery.","Black, Indigenous, Latinx, aid, LGBTQ, gender identity, funding",,thriv.life/DemBois,https://www.dembois.org/apply-for-a-grant
Demisexuality Resource Center,,A resource database for demisexuality.,LGBTQ,,thriv.life/DemiRes,http://demisexuality.org/
Depression and Bipolar Support Alliance,"<a href=""tel:+1800-273-8255"">1.800.273.TALK (8255)</a>","An organization that provides resources and information about depression and bipolar disorder as well as hosting online support groups, a text line (text DBSA to 741-741), and a crisis hotline.",mental health,,thriv.life/DBSA,https://www.dbsalliance.org/
DeQH,"<a href=""tel:+1.908.367.3374"">1.908.367.3374</a>",Desi LGBTQ+ Helpline for South Asians offers an online contact form and helpline from 8-10pm ET on Thursday and Sunday nights.,"LGBTQ, hotline",,thriv.life/DeQH,https://www.deqh.org/
DID Discord Servers,,A list of unvetted Discord servers for people with Dissociative Identity Disorder.,,,thriv.life/DID-Disc,https://discord.me/servers/tag/dissociative-identity-disorder
Directory of Peer Respites,,"A peer respite is a voluntary, short-term, overnight program that provides community-based, non-clinical crisis support to help people find new understanding and ways to move forward. It operates 24 hours per day in a homelike environment. Successful peer respites are currently operating in CA, FL, GA, IA, MA, NE, NH, NJ, NY, OH, PA, VT, and WI.","mental health, support,non-carceral",,thriv.life/PeerRespite,https://power2u.org/directory-of-peer-respites/
Disabled American Veterans,,An organization with employment resources and outreach programs for homeless vets and disaster relief. They also maintain a fleet of vehicles to provide free transportation to VA medical facilities for injured and ill veterans.,"veteran, health, disability, housing",,thriv.life/DAV,https://www.dav.org/
#DisSciSlack referenced here https://twitter.com/plantpollinator/status/1223223091503026177?s=21,,,,,,
Disabled in STEM,,An organization by and for people with disabilities or chronic illness navigating STEM. They have a mentorship program.,"academia, disability, education, mentoring, neurodivergence",,,https://disabledinstem.wordpress.com/
Disabled Scientists Slack,,A Slack workspace for disabled/chronically ill/Deaf STEM folks.,"STEMM, disability, support",,thriv.life/DisSciSlack,https://tinyurl.com/disabledscientistsslack
Dissociative Initiative,,"Dissociative Initiative has nformation about dissociation, multiplicity, and amnesia, including a Facebook support group.","mental health, coping",,thriv.life/DI,https://di.org.au/useful-links/
DIY HRT,,A site with information on self-managing hormone replacement therapy for medical transition. This should not be taken as medical advice.,"LGBTQ, gender identity, health",,thriv.life/DIYHRT,https://diyhrt.wiki/index
DIYHRT.market,,"DIYHRT.Market is a community-driven project to provide accurate and up-to-date information to the trans DIY community about sourcing of hormones. They do not aim to give advice or opinions about how to use these medications, only the best possible information on sourcing while occassionally sign posting useful information or studies that may not be well circulated so that you can make well informed decisions about your own body.","LGBTQ, gender identity",,,https://diyhrt.market/
Don't Call the Police,,"Database of local and national community-based alternatives to calling the police or 911, broken down by city.","general, hotline",,thriv.life/DontCall,https://dontcallthepolice.com/
Don't Clock Out,,"a non-profit that holds peer support groups led and for healthcare workers that allows you to remain anonymous/ not have your camera on for their support groups. They also do advocacy and offer workshops, and have other resources on their website.","mental health, coping",,,https://www.dontclockout.org/peersupportgroups
Dragonfly Mental Health,,"A volunteer organization working to change the mental health landscape in academia. They offer a reading list, peer networks, and trainings, as well as departmental-level services.","academia, mental health, education",,,https://dragonflymentalhealth.org/
Dysautonomia International,,"A non-profit that seeks to improve the lives of individuals living with autonomic nervous system disorders through research, physician education, public awareness and patient empowerment program.","disability, education, health, support",,thriv.life/DysInt,http://www.dysautonomiainternational.org/
Eating Disorder Foundation,,"A free and non-clinical confidential resource for those with eating disorders and their families, operated out of Colorado, but with virtual support groups and a mentorship program that are open to anyone internationally.","health, mental health, disordered eating",,thriv.life/EDF,https://eatingdisorderfoundation.org/get-help/support-groups/sign-up/
